Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,352.0,8.0,55.0,1137.0,0.1,21.447490343963832,0.0,0.0,183.05938816070557,,,,,,,,,,,,,,,,,,,,,7.610066265805637,7.1160339025471675,21.071057743774304,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,387.0,9.0,35.0,1172.0,0.1,2.794661959966982,0.0,0.0,186.59636235237122,,,,,,,,,,,,,,,,,,,,,1.9003388443061373,0.9667059850416555,2.7336145959936586,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,414.0,10.0,27.0,1199.0,0.1,7.6747208486488905,0.0,0.0,189.391991853714,,,,,,,,,,,,,,,,,,,,,3.086996774191244,2.6096251177726333,7.606577484136515,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,466.0,11.0,52.0,1251.0,0.1,21.981420673719583,0.0,0.0,194.5703718662262,,,,,,,,,,,,,,,,,,,,,8.129363529835985,6.64758311264098,21.60187592013244,0.17705983134841152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,502.0,12.0,36.0,1287.0,0.1,12.357684846329123,0.0,0.0,198.2297956943512,,,,,,,,,,,,,,,,,,,,,5.146349957885301,3.763638466571189,12.196797646340288,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,548.0,13.0,46.0,1333.0,0.1,16.06585753537361,0.0,0.0,202.721688747406,,,,,,,,,,,,,,,,,,,,,5.305658415801936,5.2922603519707785,15.853488371501351,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,584.0,14.0,36.0,1369.0,0.1,10.214842477177767,0.0,0.0,206.28051614761353,,,,,,,,,,,,,,,,,,,,,2.932849117154971,3.392548108698925,10.129508797045483,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,606.0,15.0,22.0,1391.0,0.1,3.490383920699218,0.0,0.0,208.88818621635437,,,,,,,,,,,,,,,,,,,,,1.0199153454104761,1.271072294383103,3.4748920923928828,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,765.0,16.0,159.0,1550.0,0.1,92.43916482325679,0.0,0.0,222.98555827140808,,,,,,,,,,,,,,,,,,,,,40.15931744901908,27.109197295085483,86.22619952170659,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,817.0,17.0,52.0,1602.0,0.1,21.92701326703372,0.0,0.0,227.94643592834473,,,,,,,,,,,,,,,,,,,,,7.670001879596094,7.072867289284313,21.57129418637325,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
